WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
91.463103,91.591823,91.400894,30.000738000000002,29.9452,30.0657,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483735,91.54874000000001,91.44894000000001,52.5625,52.0,53.0,5009.280486,5009.02,5009.51,1,GOOD
91.75692,91.84992,91.75160600000001,30.000288,29.9564,30.0715,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.485712,91.552302,91.486426,53.159721999999995,53.0,54.0,5001.981528,4998.5,5006.07,1,GOOD
87.08515799999999,87.204164,87.017004,64.999976,64.8748,65.147,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.503686,86.693252,86.46915,10.527778,10.0,11.0,5010.555556,5010.43,5010.72,1,BAD
87.066115,87.290196,87.017004,64.99938,64.8589,65.1219,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.496697,86.676541,86.463824,10.275362,10.0,11.0,5010.167319,5009.31,5010.78,1,BAD
87.130971,87.290196,87.104682,62.999736999999996,62.7718,63.3115,92.682929,92.68715,92.67134,87.957784,88.105276,87.92965699999999,87.922599,88.066307,87.90509,16.013889000000002,12.0,21.0,5011.447153,5011.28,5011.75,1,BAD
91.350096,91.41975699999999,91.313216,29.99997,29.9275,30.065,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.484465,91.551238,91.446564,52.0,52.0,52.0,5009.043125,5008.7,5009.29,1,GOOD
91.503419,91.591823,91.400894,29.999924,29.9467,30.0594,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48383000000001,91.53536899999999,91.45150500000001,54.0,54.0,54.0,5010.081319,5009.63,5010.38,1,GOOD
91.621923,91.67785500000001,91.57625,30.000152000000003,29.9542,30.0432,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48783399999999,91.554755,91.479109,53.145832999999996,53.0,54.0,5007.202708,5006.27,5007.78,1,GOOD
87.103483,87.290196,87.017004,65.00287800000001,64.8539,65.1372,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.50534499999999,86.70425300000001,86.478771,10.041667,10.0,11.0,5010.242153,5009.8,5010.61,0,BAD
87.125474,87.290196,87.104682,65.000298,64.7972,65.1832,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.496898,86.702199,86.452136,8.041667,8.0,9.0,5009.069792,5008.67,5009.47,0,BAD
91.498532,91.591823,91.48857199999999,29.999128000000002,29.9482,30.0492,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483073,91.552302,91.45944,53.423611,52.0,54.0,5010.212153,5009.91,5010.57,0,GOOD
